team,name,sport,blessure,position,date,position_complet
N.Y. Giants,D. Jackson,nfl,Undisclosed,RB,2024-05-10,Running Back
N.Y. Giants,J. Pinnock,nfl,Toe,SS,2024-05-01,Strong Safety
N.Y. Giants,G. Brightwell,nfl,Hamstring,RB,2024-05-01,Running Back
N.Y. Giants,D. Banks,nfl,Shoulder,CB,2024-05-01,Cornerback
N.Y. Giants,E. Neal,nfl,Ankle,OT,2024-05-01,Offensive Tackle
N.Y. Giants,J. Ezeudu,nfl,Toe,OT,2024-05-01,Offensive Tackle
N.Y. Giants,L. Cager,nfl,Groin,TE,2024-05-01,Tight End
N.Y. Giants,D. Slayton,nfl,Thumb,WR,2024-05-01,Wide Receiver
N.Y. Giants,G. Gano,nfl,Knee,K,2024-05-01,Kicker
N.Y. Giants,J. Schmitz,nfl,Shin,C,2024-05-01,Center
N.Y. Giants,T. Phillips,nfl,Quadriceps,OT,2024-02-13,Offensive Tackle
N.Y. Giants,A. Robinson,nfl,Knee - ACL + MCL,CB,2024-02-13,Cornerback
N.Y. Giants,B. Ford-Wheaton,nfl,Knee,WR,2024-02-13,Wide Receiver
N.Y. Giants,D. Jones,nfl,Knee - ACL,QB,2024-02-13,Quarterback
N.Y. Jets,J. Sirmon,nfl,Undisclosed,LB,2024-05-11,Linebacker
N.Y. Jets,Z. Barnes,nfl,Hamstring,LB,2024-05-01,Linebacker
N.Y. Jets,A. Rodgers,nfl,Achilles,QB,2024-05-01,Quarterback
N.Y. Jets,J. Tippmann,nfl,Ankle,C,2024-05-01,Center
N.Y. Jets,J. Ruckert,nfl,Concussion,TE,2024-05-01,Tight End
N.Y. Jets,W. Schweitzer,nfl,Calf,OG,2024-05-01,Offensive Guard
N.Y. Jets,C. Clark,nfl,Knee - ACL,DB,2024-05-01,Defensive Back
N.Y. Jets,M. Moses,nfl,Pectoral,OT,2024-03-20,Offensive Tackle
N.Y. Jets,A. Vera-Tucker,nfl,Achilles,OG,2024-02-13,Offensive Guard
N.Y. Jets,M. Williams,nfl,Knee - ACL,WR,2024-02-13,Wide Receiver
Philadelphia,L. Clark,nfl,Undisclosed,OT,2024-05-03,Offensive Tackle
Philadelphia,N. Dean,nfl,Foot,LB,2024-05-01,Linebacker
Philadelphia,C. Uzomah,nfl,Knee - MCL,TE,2024-05-01,Tight End
Philadelphia,R. Johnson,nfl,Undisclosed,OT,2024-05-01,Offensive Tackle
Philadelphia,B. Covey,nfl,Knee,WR,2024-05-01,Wide Receiver
Philadelphia,J. Jones,nfl,Concussion,WR,2024-05-01,Wide Receiver
Philadelphia,D. Slay,nfl,Back,CB,2024-05-01,Cornerback
Philadelphia,M. Hennessy,nfl,Knee,C,2024-05-01,Center
Philadelphia,A. Brown,nfl,Knee,WR,2024-05-01,Wide Receiver
Philadelphia,A. Okwuegbunam,nfl,Hamstring,TE,2024-05-01,Tight End
Philadelphia,Z. McPhearson,nfl,Achilles,CB,2024-02-13,Cornerback
Philadelphia,S. Brown,nfl,Knee - ACL,SAF,2024-01-20,Safety
Pittsburgh,J. Porter Jr.,nfl,Concussion,CB,2024-05-01,Cornerback
Pittsburgh,C. Holcomb,nfl,Knee,LB,2024-05-01,Linebacker
Pittsburgh,D. Lowry,nfl,Pectoral,DE,2024-05-01,Defensive End
Pittsburgh,T. Watt,nfl,Knee - MCL,OLB,2024-05-01,Outside Linebacker
Pittsburgh,T. Thompson,nfl,Neck,DB,2024-05-01,Defensive Back
Pittsburgh,C. Heyward,nfl,Groin,DT,2024-04-16,Defensive Tackle
Pittsburgh,C. Trice,nfl,Knee - ACL,CB,2024-02-13,Cornerback
